x_lsat,x_ugpa,x_fulltime,x_fam_inc,x_tier,z_white,y_pass_bar
32.0,3.2,2,4.0,3,1,1
43.0,3.1,1,3.0,3,1,1
28.5,2.4,1,3.0,5,0,0
47.0,2.8,1,3.0,5,1,1
36.0,2.9,1,2.0,2,1,1
38.0,3.0,1,4.0,3,1,0
36.0,2.7,1,4.0,4,1,1
34.0,3.6,2,3.0,3,1,1
38.0,3.0,1,4.0,3,1,0
42.0,3.2,1,3.0,4,1,1
37.0,3.4,2,4.0,4,1,1
29.0,3.4,1,4.0,2,1,1
37.0,2.5,1,3.0,3,1,1
29.0,3.2,1,4.0,3,1,1
37.0,3.3,1,3.0,4,1,1
35.0,3.7,1,3.0,4,1,1
41.0,2.7,1,4.0,5,1,0
48.0,4.0,1,5.0,5,1,1
37.0,3.3,1,4.0,3,1,1
34.0,3.1,1,4.0,5,1,1
46.0,3.5,1,4.0,6,1,1
41.0,3.4,1,4.0,4,1,0
39.0,3.4,1,2.0,4,1,1
40.0,1.9,1,4.0,2,1,1
41.0,3.3,1,3.0,3,1,1
29.0,3.5,1,2.0,3,1,1
48.0,3.6,1,4.0,4,1,1
37.0,3.2,1,3.0,2,1,1
36.0,3.1,1,4.0,3,1,1
45.0,3.8,1,3.0,5,1,1
29.0,2.5,1,4.0,1,1,1
28.0,3.0,1,4.0,1,0,0
29.5,3.5,1,2.0,3,1,1
39.0,2.5,2,4.0,3,1,1
39.0,3.6,1,2.0,4,1,1
41.0,3.6,1,4.0,5,1,1
36.0,3.3,1,3.0,3,1,1
39.0,2.5,1,3.0,2,1,1
30.0,3.0,1,3.0,3,1,1
23.0,2.6,2,2.0,3,0,0
43.0,2.8,1,3.0,4,1,1
25.0,3.4,1,2.0,3,1,1
37.0,3.2,1,4.0,6,1,1
48.0,3.7,1,4.0,5,1,1
46.0,3.8,1,3.0,4,1,1
45.0,4.0,1,4.0,5,1,1
29.0,3.3,1,5.0,3,1,1
35.0,3.2,1,4.0,3,1,1
43.0,3.4,1,3.0,5,1,1
44.0,3.2,1,3.0,5,1,1
37.0,2.7,1,3.0,3,1,1
34.0,3.1,1,3.0,5,0,1
36.0,3.0,1,4.0,4,1,1
37.0,3.1,1,3.0,3,1,1
32.5,2.7,1,4.0,4,1,1
