x_lsat,x_ugpa,x_fulltime,x_fam_inc,x_tier,z_white,y_zgpa
46.0,2.9,1,4.0,3,1,0.3
32.0,3.3,1,3.0,3,1,-0.45
41.0,3.9,1,4.0,4,1,-0.2
44.0,3.7,1,3.0,4,1,0.84
48.0,2.9,1,5.0,4,1,0.52
31.3,3.0,1,3.0,3,1,-2.21
48.0,3.5,1,3.0,6,1,1.71
38.0,2.8,1,3.0,4,1,-1.02
37.0,3.6,1,3.0,4,1,-1.68
37.0,3.1,1,4.0,3,1,-0.35
40.0,3.8,1,3.0,4,1,0.41
29.0,3.2,2,3.0,3,1,0.27
46.0,3.3,1,4.0,6,1,-0.12
41.0,2.6,1,3.0,3,1,0.29
34.0,3.6,1,4.0,5,1,0.94
29.0,2.8,1,4.0,3,0,-1.21
37.0,3.3,1,4.0,3,1,-0.08
36.5,2.9,1,2.0,1,0,1.31
25.0,3.0,1,4.0,4,1,0.48
45.0,3.4,1,4.0,4,1,1.02
39.0,2.8,2,4.0,4,1,-0.67
42.0,3.8,1,4.0,6,1,1.15
48.0,3.4,1,4.0,4,1,1.89
35.5,3.5,1,3.0,3,1,-0.77
41.0,3.4,1,4.0,4,1,0.4
34.0,3.3,2,2.0,4,1,0.25
48.0,3.4,1,4.0,5,1,2.23
35.0,3.1,1,3.0,5,1,0.65
42.0,3.9,1,4.0,6,1,-0.26
37.0,2.8,1,4.0,5,1,0.0
44.0,3.1,1,5.0,4,1,1.58
27.0,2.8,1,3.0,3,1,-0.1
42.0,3.1,1,4.0,4,1,0.51
35.0,3.0,1,3.0,3,1,-0.67
36.0,3.1,1,4.0,3,1,-0.57
42.0,2.9,1,4.0,4,1,-2.23
33.0,3.3,1,3.0,4,1,0.23
39.0,3.5,1,4.0,3,1,0.61
44.0,2.7,1,5.0,4,1,-0.98
31.5,3.1,1,3.0,3,1,-1.01
45.0,3.0,1,3.0,4,1,1.14
46.0,3.6,1,3.0,5,1,-1.4
40.0,3.7,1,3.0,4,1,0.13
36.0,2.7,1,4.0,5,1,0.0
40.0,3.1,1,3.0,3,1,0.07
44.0,3.2,1,4.0,6,1,0.24
25.0,2.8,1,2.0,4,1,-0.95
43.0,2.9,1,3.0,4,1,-0.74
25.0,3.1,1,4.0,4,0,-1.5
37.0,3.1,1,4.0,5,1,0.35
32.0,3.3,1,3.0,3,1,-0.43
46.0,3.3,1,4.0,4,1,0.51
33.0,3.6,1,4.0,3,1,-0.12
39.0,2.7,1,4.0,4,1,0.1
37.0,3.3,1,5.0,3,1,0.14
30.0,3.6,1,4.0,3,1,0.77
44.0,3.5,1,4.0,6,1,0.43
43.0,3.8,1,3.0,4,1,1.63
40.0,3.2,1,4.0,3,1,-1.39
34.0,3.0,1,4.0,3,1,0.62
38.0,3.0,1,5.0,5,1,-0.86
37.0,2.4,2,4.0,2,1,-0.27
39.0,3.6,1,4.0,4,1,0.07
42.0,3.9,1,3.0,6,1,-1.37
40.5,3.7,1,5.0,4,1,1.42
44.0,3.3,1,4.0,3,1,0.84
35.0,2.9,1,4.0,3,1,0.1
35.0,3.0,1,2.0,4,0,-0.9
38.0,3.3,1,3.0,5,1,0.32
35.0,3.1,1,3.0,4,1,0.51
36.0,3.1,2,3.0,5,1,-0.09
32.0,3.8,1,4.0,4,1,0.26
28.5,2.6,1,3.0,3,0,-1.83
44.0,3.2,1,2.0,3,1,-0.27
41.0,3.6,1,3.0,3,1,1.93
40.0,3.0,1,5.0,3,1,-0.18
36.0,4.0,1,4.0,4,1,1.35
34.0,3.4,1,3.0,4,1,-0.54
38.0,3.1,2,4.0,3,1,-1.21
29.0,3.0,2,5.0,6,1,-0.84
32.0,2.5,1,4.0,3,1,-0.13
39.0,3.6,1,4.0,4,1,-0.59
39.0,3.5,1,5.0,4,1,1.5
42.0,3.6,1,3.0,3,1,1.55
21.0,2.9,1,1.0,4,1,-0.9
34.0,3.4,1,3.0,4,1,0.68
21.0,2.6,1,3.0,4,0,-1.78
39.0,2.8,1,3.0,3,1,1.99
34.0,3.0,1,5.0,3,1,0.23
45.0,2.6,1,1.0,3,1,-0.55
48.0,3.8,1,4.0,6,1,-0.29
34.0,3.3,1,4.0,4,1,-0.65
33.0,3.7,1,3.0,4,1,0.3
47.0,3.9,1,4.0,5,1,1.32
36.0,2.3,1,3.0,3,1,-0.45
31.0,3.2,1,4.0,3,1,1.03
35.0,3.9,1,3.0,4,1,1.01
29.0,3.7,1,2.0,3,1,-0.41
39.0,3.7,1,3.0,6,1,0.48
35.0,4.0,1,2.0,4,1,1.23
39.0,3.6,1,3.0,4,1,0.29
41.0,3.8,1,3.0,4,1,1.49
46.0,3.8,1,3.0,5,1,0.66
32.0,3.9,1,3.0,3,1,-1.22
32.5,2.8,1,3.0,2,1,1.12
36.0,3.5,1,4.0,4,1,0.69
28.0,2.3,1,3.0,3,0,-0.5
42.0,3.2,1,2.0,4,1,-0.96
34.0,3.8,1,4.0,4,1,-0.31
32.0,2.5,2,4.0,2,1,-0.45
45.0,3.3,1,4.0,3,1,0.73
36.0,3.2,1,4.0,3,1,-0.35
32.0,3.9,1,4.0,4,1,1.85
42.0,3.6,1,2.0,4,1,0.88
37.0,3.4,1,4.0,4,1,-0.37
41.0,3.3,1,3.0,5,1,1.88
39.0,3.6,1,5.0,4,1,2.02
38.0,3.2,1,2.0,3,1,-1.03
45.0,3.3,1,4.0,4,1,0.75
43.0,3.4,1,5.0,4,1,0.15
48.0,3.3,1,3.0,6,1,-0.1
39.0,3.1,1,2.0,3,1,1.39
39.0,3.1,1,4.0,3,1,0.76
36.0,3.2,1,4.0,3,1,-1.33
27.0,2.7,1,4.0,3,1,-0.65
41.0,3.1,1,3.0,3,1,1.33
37.0,3.1,1,4.0,4,1,-0.58
32.0,2.8,1,4.0,2,1,-1.44
44.0,3.3,1,3.0,4,1,0.05
37.0,2.4,1,3.0,3,1,-0.73
